cbsa_geoid,cbsa_name,cbsa_type,population,median_hh_income,ba_plus_share,sg_stores,sg_pipeline,cmg_stores,land_sq_mi,density,sg_per_m,cmg_per_m
35620,"New York-Newark-Jersey City, NY-NJ Metro Area",metro,19756722,97334,0.43497152904296393,49,0,222,6139.593921533486,3217.919988275929,2.480168521883337,11.236681874655117
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",metro,13012469,93525,0.3738901071130544,27,1,159,4853.106185109089,2681.2660806653057,2.074932897054356,12.219049282653431
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",metro,9359555,88850,0.40889397742970585,24,0,172,6923.139627077285,1351.9234775207456,2.564224474347338,18.376942066155923
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",metro,7807555,87155,0.3848687265443462,6,0,144,8675.603520820796,899.9437308611966,0.7684864211651407,18.44367410796338
26420,"Houston-Pasadena-The Woodlands, TX Metro Area",metro,7274714,80458,0.3536221711771222,6,0,96,8838.065541544127,823.1115695855103,0.8247746921734654,13.196395074775447
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",metro,6263796,123896,0.5378317287606924,30,0,149,6034.458823056141,1038.0045972088863,4.7894280081918374,23.787492440686126
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",metro,6241882,89273,0.41452125103191045,9,0,65,4603.206063752934,1355.9857876340811,1.4418728197681403,10.41352592054768
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",metro,6176937,86338,0.4145151335285787,6,0,102,8785.565670029273,703.0778929889234,0.9713552202329407,16.513038743959992
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",metro,6138876,73481,0.3561380245686224,7,0,88,5067.125222439728,1211.5106160814878,1.140273887271872,14.334871725703533
38060,"Phoenix-Mesa-Chandler, AZ Metro Area",metro,4941206,84703,0.3456726141121921,3,0,84,14568.686156632588,339.1662053033142,0.6071392287631805,16.999898405369052
