state_abbr,city,street,city_slug,street_slug,url
ID,Meridian,1323 W Chinden Blvd,meridian,1323-w-chinden-blvd,https://locations.chipotle.com/id/meridian/1323-w-chinden-blvd
CA,Brentwood,7580 Brentwood Blvd,brentwood,7580-brentwood-blvd,https://locations.chipotle.com/ca/brentwood/7580-brentwood-blvd
KS,Topeka,2001 Se 28th St,topeka,2001-se-28th-st,https://locations.chipotle.com/ks/topeka/2001-se-28th-st
NY,Olean,2727 W State St,olean,2727-w-state-st,https://locations.chipotle.com/ny/olean/2727-w-state-st
FL,Inverness,911 W Main St,inverness,911-w-main-st,https://locations.chipotle.com/fl/inverness/911-w-main-st
GA,Dunwoody,8753 Roswell Rd,dunwoody,8753-roswell-rd,https://locations.chipotle.com/ga/dunwoody/8753-roswell-rd
MI,Commerce Township,273 Haggerty Rd,commerce-township,273-haggerty-rd,https://locations.chipotle.com/mi/commerce-township/273-haggerty-rd
PA,Huntingdon Valley,2090 County Line Rd,huntingdon-valley,2090-county-line-rd,https://locations.chipotle.com/pa/huntingdon-valley/2090-county-line-rd
GA,Pooler,2120 Pooler Pkwy,pooler,2120-pooler-pkwy,https://locations.chipotle.com/ga/pooler/2120-pooler-pkwy
NJ,Burlington,1805 Mount Holly Rd,burlington,1805-mount-holly-rd,https://locations.chipotle.com/nj/burlington/1805-mount-holly-rd
UT,Washington,1560 Grapevine Xing,washington,1560-grapevine-xing,https://locations.chipotle.com/ut/washington/1560-grapevine-xing
AZ,Tucson,4857 E Grant Rd,tucson,4857-e-grant-rd,https://locations.chipotle.com/az/tucson/4857-e-grant-rd
FL,Kissimmee,4390 W Vine St,kissimmee,4390-w-vine-st,https://locations.chipotle.com/fl/kissimmee/4390-w-vine-st
FL,Fort Pierce,5545 Okeechobee Rd,fort-pierce,5545-okeechobee-rd,https://locations.chipotle.com/fl/fort-pierce/5545-okeechobee-rd
IN,Indianapolis,6830 Lake Plaza Dr,indianapolis,6830-lake-plaza-dr,https://locations.chipotle.com/in/indianapolis/6830-lake-plaza-dr
RI,North Kingstown,118 Gate Rd,north-kingstown,118-gate-rd,https://locations.chipotle.com/ri/north-kingstown/118-gate-rd
ID,Nampa,1260 N Happy Valley Rd,nampa,1260-n-happy-valley-rd,https://locations.chipotle.com/id/nampa/1260-n-happy-valley-rd
NY,New York,2575 Broadway,new-york,2575-broadway,https://locations.chipotle.com/ny/new-york/2575-broadway
