state_name,state_abbr,city,name,street,zip,hours,coming_soon
Arkansas,AR,Bentonville,Bentonville,1701 Southeast 8th Street #11,72712,Mon - Fri 10:00am - 8:00pm Sat - Sun 11:00am - 4:00pm,FALSE
Arkansas,AR,Fayetteville,Fayetteville,"542 West Streamside Bend, Unit 200",72701,Mon - Sun 10:30am - 9:00pm,FALSE
Arizona,AZ,Phoenix,32nd + Camelback,3225 East Camelback Road,85018,Mon - Sun 10:00am - 10:00pm,FALSE
Arizona,AZ,Phoenix,Paradise Valley,10810 North Tatum Boulevard Suite 105 B,85028,Mon - Sun 10:00am - 10:00pm,FALSE
Arizona,AZ,Scottsdale,Scottsdale Quarter,15323 North Scottsdale Road Suite E1-150,85254,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,San Diego,4S Commons,10562 Craftsman Way #192,92127,Mon - Thu 11:00am - 9:00pm Fri 11:00am - 8:00pm Sat 10:30am - 8:00pm Sun 11:00am - 8:00pm,FALSE
California,CA,Los Angeles,5th + Grand,601 W 5th St,90071,Mon - Fri 10:00am - 9:00pm,FALSE
California,CA,Los Angeles,8th + Hill,410 West 8th Street,90014,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
California,CA,Oakland,9th + Broadway,831 Broadway,94607,Mon - Fri 10:00am - 8:00pm Sat - Sun 10:30am - 7:00pm,FALSE
California,CA,Berkeley,Berkeley,1890 Shattuck Ave,94709,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
California,CA,Beverly Hills,Beverly + Wilshire,251 N Beverly Dr,90210,Mon - Thu 10:00am - 9:00pm Fri - Sun 10:00am - 8:00pm,FALSE
California,CA,Burlingame,Burlingame,235 Lorton Avenue,94010,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,Carlsbad,Carlsbad,7750 El Camino Real suite a,92009,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
California,CA,Los Angeles,Century City,10250 Santa Monica Blvd,90067,Mon - Thu 10:00am - 9:00pm Fri - Sun 10:00am - 8:00pm,FALSE
California,CA,Costa Mesa,Costa Mesa,280 Bristol Street,92626,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,Culver City,Culver City: The Lab,8840 Washington Blvd Suite 101,90232,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,Torrance,Del Amo,21434 Hawthorne Boulevard unit 120,90503,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
California,CA,San Diego,Del Mar,12853 El Camino Real suite 111,92130,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
California,CA,Emeryville,Emeryville Coming soon,"5959 Shellmound Street, Suite 85",94608,Mon - Sun 10:00am - 9:00pm,TRUE
California,CA,Encino,Encino,"16403 Ventura Blvd., Suite D",91436,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
California,CA,Sacramento,Fair Oaks + Howe,2080 Fair Oaks Boulevard,95825,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,Newport Beach,Fashion Island,853 Newport Center Dr,92660,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 8:00pm,FALSE
California,CA,San Francisco,Folsom + Main,150 Folsom Street,94105,Mon - Fri 10:00am - 10:00pm Sat - Sun 10:00am - 6:00pm,FALSE
California,CA,Greenbrae,Greenbrae,284 Bon Air Center,94904,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 8:00pm,FALSE
California,CA,Los Angeles,Hollywood,6115 West Sunset Blvd,90028,Mon - Sun 10:00am - 9:00pm,FALSE
California,CA,Huntington Beach,Huntington Beach,"18685 Main Street, Suite 107",92648,Mon - Sun 10:30am - 9:00pm,FALSE
California,CA,Los Angeles,La Brea,180 S La Brea,90036,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,San Diego,La Jolla,4575 La Jolla Village Drive unit 1145,92122,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
California,CA,Laguna Niguel,Laguna Niguel,27221 La Paz Road,92677,Mon - Sun 10:30am - 9:00pm,FALSE
California,CA,Long Beach,Long Beach,"6451 East Pacific Coast Highway, Unit 21",90803,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,Manhattan Beach,Manhattan Beach,"3200 N Sepulveda Blvd, Space #E18",90266,Mon - Fri 10:00am - 10:00pm Sat - Sun 10:30am - 10:00pm,FALSE
California,CA,San Francisco,Marina,2040 Chestnut St.,94123,Mon - Thu 10:00am - 10:00pm Fri - Sun 10:30am - 10:00pm,FALSE
California,CA,Marina del Rey,Marina del Rey,4718 Admiralty Way,90292,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,San Francisco,Market + Battery Coming soon,22 Battery Street,94111,NA,TRUE
California,CA,Sacramento,Midtown,1629 S Street,95811,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,San Francisco,Mission Rock,1023 3rd Street,94158,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,San Diego,Mission Valley,1025 Camino De La Reina,92108,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,Santa Monica,Montana Ave,1517 Montana Ave,90402,Mon - Fri 10:00am - 9:00pm Sat - Sun 11:00am - 9:00pm,FALSE
California,CA,Mountain View,Mountain View,440 Castro St,94041,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 7:00pm,FALSE
California,CA,Palo Alto,Palo Alto,581 Ramona St,94301,Mon - Sun 10:30am - 9:00pm,FALSE
California,CA,Pasadena,Pasadena,600 E Colorado Blvd.,91101,Mon - Thu 10:00am - 9:00pm Fri - Sat 10:00am - 10:00pm Sun 10:00am - 9:00pm,FALSE
California,CA,Campbell,Pruneyard,"1875 S. Bascom Avenue, Suite 450",95008,Mon - Fri 10:00am - 10:00pm Sat - Sun 10:30am - 10:00pm,FALSE
California,CA,Rancho Cucamonga,Rancho Cucamonga,7811 Monet Ave space 1305,91739,Mon - Sun 10:30am - 9:00pm,FALSE
California,CA,Redwood City,Redwood City Coming soon,1109 El Camino Real,94063,NA,TRUE
California,CA,San Mateo,San Mateo,1 East 3rd Ave,94401,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
California,CA,Santa Clara,Santa Clara,2532 Augustine Drive,95054,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,Santa Monica,Santa Monica,1343 4th St,90401,Mon - Thu 10:00am - 9:00pm Fri 10:00am - 8:00pm Sat - Sun 11:00am - 7:00pm,FALSE
California,CA,Santa Rosa,Santa Rosa,2365 Sonoma Avenue Suite C6,95405,Mon - Sun 10:00am - 9:00pm,FALSE
California,CA,San Jose,Saratoga + Campbell,1200 El Paseo de Saratoga Suite 120,95129,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,Los Angeles,Silver Lake,3925 Sunset Blvd,90029,Mon - Fri 10:00am - 11:00pm Sat - Sun 10:30am - 11:00pm,FALSE
California,CA,San Francisco,Soma,171 2nd St,94105,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
California,CA,Irvine,Spectrum,714 Spectrum Center Drive,92618,Mon - Thu 10:00am - 9:00pm Fri 10:00am - 10:00pm Sat 10:30am - 10:00pm Sun 10:30am - 9:00pm,FALSE
California,CA,Studio City,Studio City,13003 Ventura Blvd,91604,Mon - Sun 10:00am - 9:00pm,FALSE
California,CA,Sunnyvale,Sunnyvale,300 W El Camino Real,94087,Mon - Fri 10:00am - 10:00pm Sat - Sun 10:30am - 10:00pm,FALSE
California,CA,West Hollywood,Sunset Strip,8570 Sunset Blvd,90069,Mon - Sun 10:30am - 10:00pm,FALSE
California,CA,Burbank,Toluca Lake,4320 West Riverside Drive,91505,Mon - Sun 10:00am - 9:00pm,FALSE
California,CA,Tustin,Tustin,15090 Kensington Park Drive suite 400,92782,Mon - Sun 10:30am - 10:00pm,FALSE
California,CA,Irvine,UC Irvine,4289 Campus Drive,92612,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,Los Angeles,USC Village,929 West Jefferson Boulevard Suite 1650,90089,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,Los Angeles,Vineyards at Porter Ranch Coming soon,20140 Rinaldi Street,91326,NA,TRUE
California,CA,Walnut Creek,Walnut Creek,1556 Mount Diablo Boulevard suite a,94596,Mon - Fri 10:00am - 10:00pm Sat - Sun 10:30am - 10:00pm,FALSE
California,CA,Los Angeles,West 3rd,8055 W 3rd St,90048,Mon - Sun 10:00am - 10:00pm,FALSE
California,CA,Thousand Oaks,Westlake Village,"100 Promenade Way, Unit A",91362,Mon - Sun 10:00am - 9:00pm,FALSE
California,CA,Los Angeles,Westwood,10922 Kinross Ave,90024,Mon - Sun 11:00am - 9:00pm,FALSE
California,CA,Woodland Hills,Woodland Hills,20929 Ventura Blvd #1,91364,Mon - Sun 10:00am - 9:00pm,FALSE
Colorado,CO,Boulder,16th + Pearl,1601 Pearl St,80302,Mon - Sun 10:00am - 9:00pm,FALSE
Colorado,CO,Denver,Cherry Creek,275 Saint Paul St,80206,Mon - Sun 10:30am - 9:30pm,FALSE
Colorado,CO,Highlands Ranch,Highlands Ranch,3620 East Highlands Ranch Parkway suite 101,80126,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:00am - 8:00pm,FALSE
Colorado,CO,Denver,LoDo,1750 Wewatta St,80202,Mon - Sun 10:30am - 9:00pm,FALSE
Colorado,CO,Lone Tree,Park Meadows,8423 Park Meadows Center Drive #E160,80124,Mon - Sun 10:00am - 8:00pm,FALSE
Colorado,CO,Denver,Tennyson,"3985 N Tennyson Street, Suite 110",80212,Mon - Sun 10:00am - 10:00pm,FALSE
Colorado,CO,Denver,University Hills,"2770 S. Colorado Boulevard, Suite L-110",80222,Mon - Sun 10:00am - 9:00pm,FALSE
Connecticut,CT,Darien,Darien,126 Heights Road,06820,Mon - Sun 10:30am - 9:00pm,FALSE
Connecticut,CT,Canton,Farmington Valley,110 Albany Turnpike Suite 911,06019,Mon - Sun 10:30am - 9:00pm,FALSE
Connecticut,CT,Greenwich,Greenwich,102 Greenwich Ave,06830,Mon - Sun 10:30am - 8:00pm,FALSE
Connecticut,CT,New Haven,New Haven,1 Broadway,06511,Mon - Sun 10:00am - 10:00pm,FALSE
Connecticut,CT,Westport,Westport,374 Post Road East,06880,Mon - Fri 10:30am - 8:00pm Sat - Sun 10:30am - 7:00pm,FALSE
District of Columbia,DC,Washington,14th + W,1325 W St NW,20009,Mon - Sun 10:30am - 10:00pm,FALSE
District of Columbia,DC,Washington,Capitol Hill,221 Pennsylvania Ave SE,20003,Mon - Sun 10:30am - 9:00pm,FALSE
District of Columbia,DC,Washington,Dupont,1512 Connecticut Ave NW,20036,Mon - Sun 10:00am - 9:00pm,FALSE
District of Columbia,DC,Washington,Farragut Square,888 17th St NW,20006,Mon - Fri 9:30am - 9:00pm Sat - Sun 9:30am - 4:00pm,FALSE
District of Columbia,DC,Washington,Foggy Bottom,2221 I St NW,20037,Mon - Sun 10:00am - 10:00pm,FALSE
District of Columbia,DC,Washington,Georgetown,1044 Wisconsin Ave NW,20007,Mon - Sun 9:30am - 9:00pm,FALSE
District of Columbia,DC,Washington,Logan Circle,1461 P St NW,20005,Mon - Sun 10:30am - 10:00pm,FALSE
District of Columbia,DC,Washington,Mt Vernon,601 Massachusetts Avenue Northwest suite 110,20001,Mon - Sun 9:30am - 9:00pm,FALSE
District of Columbia,DC,Washington,Navy Yard,1212 4th St SE,20003,Mon - Thu 9:30am - 10:00pm Fri - Sun 9:30am - 9:00pm,FALSE
District of Columbia,DC,Washington,Penn Quarter,"624 E. Street, NW",20004,Mon - Fri 10:30am - 8:30pm Sat - Sun 10:30am - 4:00pm,FALSE
District of Columbia,DC,Washington,Union Market,1304 4th Street Northeast,20002,Mon - Fri 10:00am - 8:00pm Sat - Sun 10:00am - 7:00pm,FALSE
District of Columbia,DC,Washington,West End,2238 M St NW,20037,Mon - Sun 10:00am - 7:30pm,FALSE
Florida,FL,Miami,Aventura,19505 Biscayne Boulevard suite #2160,33180,Mon - Sun 10:30am - 8:00pm,FALSE
Florida,FL,Coconut Grove,Coconut Grove,3015 Grand Ave. Space #140,33133,Mon - Sun 9:30am - 10:00pm,FALSE
Florida,FL,Coral Gables,Coral Gables,122 Giralda Ave,33134,Mon - Fri 10:30am - 8:00pm Sat - Sun 10:30am - 7:00pm,FALSE
Florida,FL,St. Petersburg,Edge District,1114 Central Avenue,33705,Mon - Sun 10:00am - 10:00pm,FALSE
Florida,FL,Tampa,Hyde Park Village,722 South Village Circle,33606,Mon - Sun 10:30am - 9:00pm,FALSE
Florida,FL,Palm Beach Gardens,Palm Beach Gardens,11701 Lake Victoria Gardens Avenue suite 4101,33410,Mon - Sun 10:30am - 9:00pm,FALSE
Florida,FL,Fort Lauderdale,River Market,2374 N Federal Hwy,33305,Mon - Sun 9:30am - 10:00pm,FALSE
