cbsa_name,population,median_hh_income,density,cmg_stores,pred_per_m,pred_stores
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2510529,94573,375.4121705201352,42,1.528063589794363,3.8
"St. Louis, MO-IL Metro Area",2809414,78225,357.2729541991087,20,1.2487810486592503,3.5
"Orlando-Kissimmee-Sanford, FL Metro Area",2721022,75611,779.2063900146776,64,1.2462193299518844,3.4
"Pittsburgh, PA Metro Area",2443921,73942,433.2944795142971,33,1.300283285659514,3.2
"Kansas City, MO-KS Metro Area",2202006,81927,303.4522540314972,49,1.328767036396057,2.9
"Cincinnati, OH-KY-IN Metro Area",2255257,79490,514.2903801551513,62,1.2384803400815634,2.8
"Cleveland, OH Metro Area",2171978,68507,804.0055955463748,59,1.1260424983175619,2.4
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",1782590,80533,556.733716725491,21,1.1096807690886819,2
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",2293764,73845,290.65667608066565,35,0.6487766158478909,1.5
"Buffalo-Cheektowaga, NY Metro Area",1161385,70572,742.0462851570674,10,1.2246402664953768,1.4
"Oklahoma City, OK Metro Area",1445122,70499,262.1905943569177,8,0.9707909792411213,1.4
"Rochester, NY Metro Area",1058875,74438,361.6665071357525,14,1.3048713775091059,1.4
"Urban Honolulu, HI Metro Area",1003666,104264,1670.589188860685,0,1.3171611667854897,1.3
"Albany-Schenectady-Troy, NY Metro Area",902372,86072,320.9228030804925,10,1.4590486070828106,1.3
"Louisville/Jefferson County, KY-IN Metro Area",1361847,71737,343.8306007992925,11,0.9160350315425245,1.2
"Grand Rapids-Wyoming-Kentwood, MI Metro Area",1154320,80296,356.0295546167647,7,1.0716121610381286,1.2
"Omaha, NE-IA Metro Area",972840,83023,223.87027657660332,11,1.2664147785600874,1.2
"Memphis, TN-MS-AR Metro Area",1341606,64743,269.2986377842291,12,0.8544834532381426,1.1
"Worcester, MA Metro Area",861664,93561,570.3828139400724,7,1.3291365070426835,1.1
"Charleston-North Charleston, SC Metro Area",817756,82272,315.71389324459625,11,1.4000379469514175,1.1
