term,estimate,std.error,statistic,p.value,chain,spec,n,r2
(Intercept),2.454725794055153,6.468270054966383,0.3795026758615926,0.7061824310467193,Sweetgreen,log,47,0.42554055854867123
log(median_hh_income),-0.48809237186790116,0.6008115569143617,-0.8123884540015144,0.4210437411370209,Sweetgreen,log,47,0.42554055854867123
log(density),0.11864541514418901,0.12273495048233149,0.9666799446932502,0.33910978556879956,Sweetgreen,log,47,0.42554055854867123
ba_plus_share,6.424088241330024,1.2956153816090044,4.958329711516739,1.1601455589127936e-5,Sweetgreen,log,47,0.42554055854867123
(Intercept),-0.3231978060754298,1.782407136239868,-0.1813265889168519,0.8562164977099139,Chipotle,log,353,0.11917039238209529
log(median_hh_income),0.18133820794264974,0.16797238454626168,1.0795715523863803,0.28107852599930255,Chipotle,log,353,0.11917039238209529
log(density),0.06267551862957121,0.02575116950681993,2.433890181685622,0.015438623390348176,Chipotle,log,353,0.11917039238209529
ba_plus_share,1.0334743176308823,0.3168902662188533,3.261300291619358,0.0012183779606975184,Chipotle,log,353,0.11917039238209529
(Intercept),13.767803470533119,12.700695649223176,1.0840196356783978,0.2843969373646882,Sweetgreen,level,47,0.3722310060575751
log(median_hh_income),-1.4691469861448065,1.179716471647054,-1.245339046672516,0.21975086120159756,Sweetgreen,level,47,0.3722310060575751
log(density),-0.047457529310340765,0.2409947695986653,-0.19692348256923994,0.8448152633018843,Sweetgreen,level,47,0.3722310060575751
ba_plus_share,12.213713738546966,2.5439903560664843,4.801006304690478,1.9370476744917225e-5,Sweetgreen,level,47,0.3722310060575751
(Intercept),-4.342290692598333,20.57707859382559,-0.21102561633318012,0.8329904455020083,Chipotle,level,353,0.12030178411897234
log(median_hh_income),0.658140304391187,1.939164676871883,0.3393937153665826,0.7345172898935086,Chipotle,level,353,0.12030178411897234
log(density),0.7938316335713552,0.2972855236332769,2.670266698053564,0.007933721948229963,Chipotle,level,353,0.12030178411897234
ba_plus_share,13.900225080273234,3.658353796405659,3.7995846913248896,1.7095997543953518e-4,Chipotle,level,353,0.12030178411897234
