cbsa_name,population,median_hh_income,density,sg_stores,cmg_stores,sg_per_m,cmg_per_m
"New York-Newark-Jersey City, NY-NJ Metro Area",19756722,97334,3217.919988275929,49,222,2.480168521883337,11.236681874655115
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13012469,93525,2681.2660806653057,27,159,2.074932897054356,12.219049282653431
"Chicago-Naperville-Elgin, IL-IN Metro Area",9359555,88850,1351.9234775207456,24,172,2.564224474347338,18.376942066155923
"Dallas-Fort Worth-Arlington, TX Metro Area",7807555,87155,899.9437308611966,6,144,0.7684864211651407,18.44367410796338
"Houston-Pasadena-The Woodlands, TX Metro Area",7274714,80458,823.1115695855103,6,96,0.8247746921734654,13.196395074775449
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6263796,123896,1038.0045972088865,30,149,4.7894280081918374,23.78749244068613
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6241882,89273,1355.9857876340811,9,65,1.4418728197681403,10.41352592054768
"Atlanta-Sandy Springs-Roswell, GA Metro Area",6176937,86338,703.0778929889234,6,102,0.9713552202329409,16.513038743959992
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6138876,73481,1211.5106160814878,7,88,1.140273887271872,14.334871725703533
"Phoenix-Mesa-Chandler, AZ Metro Area",4941206,84703,339.1662053033142,3,84,0.6071392287631805,16.999898405369052
"Boston-Cambridge-Newton, MA-NH Metro Area",4917661,112484,1410.6487554820649,23,62,4.677020233806275,12.607619760695176
"San Francisco-Oakland-Fremont, CA Metro Area",4653593,133780,1884.196991944827,9,64,1.933989500156116,13.75281422333238
"Riverside-San Bernardino-Ontario, CA Metro Area",4637725,86031,170.02066772353348,1,65,0.2156229616891903,14.015492509797369
"Detroit-Warren-Dearborn, MI Metro Area",4367620,75123,1122.1096780998855,4,33,0.9158305896575252,7.555602364674583
"Seattle-Tacoma-Bellevue, WA Metro Area",4021467,112594,685.0612805450019,3,44,0.7459964236931448,10.941280880832789
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3693351,98180,524.0667348573983,5,84,1.3537841380361628,22.743573519007537
"San Diego-Chula Vista-Carlsbad, CA Metro Area",3282782,102285,779.6731296564393,5,38,1.5230983964210842,11.57554781280024
